codigo,nome_da_escala
150001,SEG A SEX 08:00 | 12:30 | 13:42 | 18:00
50001,SEG A SEX 08:00 | 12:30 | 13:42 | 18:00
50010,SEG A SEX 07:30 | 12:00 | 13:30 | 17:48
50013,SEG A SEX 06:00 | 10:30 | 11:42 | 16:00
20001,SEG A SEX 08:00 | 12:30 | 13:42 | 18:00
20007,SEG A SEX 07:00 | 12:00 | 13:12 | 17:00
20010,SEG A SEX 07:30 | 12:00 | 13:30 | 17:48
20013,SEG A SEX 06:00 | 10:30 | 11:42 | 16:00
60001,SEG A SEX 08:00 | 12:30 | 13:42 | 18:00
60007,SEG A SEX 07:00 | 12:00 | 13:12 | 17:00
60010,SEG A SEX 07:30 | 12:00 | 13:30 | 17:48
60019,SEG A SEX 06:00 | 10:30 | 11:42 | 16:00
31,SEG A SEX 07:30 | 12:00 | 13:30 | 17:48
30502,SEG A SEX 09:00 | 13:30 | 14:30 | 18:22 E SAB 09:00 | 13:00
30002,SEG A SEX 07:15 | 12:00 | 13:12 | 17:15
30003,SEG A SEX 07:50 | 12:30 | 13:42 | 17:50
30004,SEG A SEX 07:00 | 10:30 | 11:30 | 15:20
30005,SEG A SEX 15:00 | 19:00 | 20:00 | 23:20
30006,SEG A SEX 23:00 | 03:30 | 04:30 | 07:20
30007,SEG A SEX 08:00 | 11:30 | 12:30 | 16:20
30008,SEG A SEX 05:40 | 09:10 | 10:10 | 14:00
30018,SEG A SEX 09:00 | 13:00 | 14:00 | 18:00
30019,SEG A SEX 08:00 | 12:00 | 13:30 | 17:30 E SAB 08:00 | 12:00
30030,SEG A SEX 07:00 | 12:00 | 13:12 | 17:00
30031,SEG A SEX 23:00 | 03:00 | 04:00 | 07:00
30032,SEG A SEX 08:00 | 12:00 | 13:00 | 17:00 E SAB 08:00 | 12:00
30036,SEG A SEX 23:00 | 02:30 | 03:30 | 06:24
30037,SEG A SEX 23:40 | 03:30 | 04:30 | 07:04
30038,SEG A SEX 22:00 | 01:30 | 02:30 | 05:24
30050,SEG A SEX 10:00 | 14:00 | 15:00 | 18:20
30027,SEG A SEX 08:00 | 12:00 | 13:00 | 17:00 E SAB 08:00 | 12:00
30101,SEG A SEX 08:38 | 12:00 | 13:00 | 17:00 E SAB 09:00 | 13:00
30102,SEG A SEX 09:00 | 13:30 | 14:30 | 18:22 E SAB 09:00 | 13:00
2,SEG A SEX 07:00 | 12:30 | 14:30 | 17:48
3,SEG A SEX 08:00 | 13:00 | 15:00 | 18:00 E SAB 08:00 | 12:00
5,SEG A SEX 07:30 | 11:30 | 13:30 | 17:30 E SAB 07:30 | 11:30
7,SEG A SEX 08:00 | 13:00 | 15:00 | 18:00 E SAB 08:00 | 12:00
1,SEG A SEX 08:00 | 12:30 | 13:42 | 18:00
10,SEG A SEX 08:30 | 12:00 | 13:30 | 18:00 E SAB 08:30 | 12:30
11,SEG A SEX 08:00 | 12:00 | 13:30 | 17:30 E SAB 08:00 | 12:00
12,SEG A SEX 08:00 | 12:00 | 13:30 | 17:30
23,SEG A SEX 08:00 | 13:00 | 15:00 | 18:00
24,SEG A SEX 08:20 | 12:30 | 14:00 | 17:50
26,SEG A SEX 07:30 | 11:30 | 13:00 | 17:00 E SAB 07:30 | 11:30
27,SEG A SEX 08:00 | 12:00 | 13:30 | 17:30 E SAB 08:00 | 12:00
30,SEG A SEX 08:00 | 11:00 | 11:15 | 14:00
36,SEG A SEX 08:00 | 12:00 | 13:00 | 17:30 E SAB 08:00 | 12:00
40,SEG A SEX 07:00 | 12:00 | 14:00 | 17:00 E SAB 07:00 | 11:00
48,SEG A SEX 09:00 | 12:00 | 12:15 | 15:00
50,SEG A SEX 07:30 | 11:00 | 11:15 | 11:30
51,SEG A SEX 08:00 | 12:00 | 13:00 | 17:00 E SAB 08:00 | 12:00
54,SEG A SEX 09:00 | 12:00 | 13:00 | 18:00 E SAB 09:00 | 13:00
57,SEG A SEX 07:00 | 12:00 | 13:00 | 16:48
58,SEG A SEX 07:00 | 12:00 | 13:00 | 16:00 E SAB 07:00 | 11:00
59,SEG A SEX 07:30 | 12:00 | 13:00 | 17:18
61,SEG A SEX 07:00 | 12:00 | 13:12 | 17:00
62,SEG A SEX 07:00 | 12:00 | 13:30 | 17:18
63,SEG A QUI 07:00 | 11:30 | 12:30 | 17:00 E SEX 07:00 | 11:00 | 12:00 | 16:00
68,SEG A SEX 07:00 | 12:00 | 14:00 | 17:00 E SAB 07:00 | 11:00
7,SEG A SEX 07:00 | 12:00 | 13:12 | 17:00
71,SEG A SEX 09:00 | 12:00 | 13:00 | 18:00 E SAB 09:00 | 13:00
77,SEG A SEX 07:30 | 12:00 | 13:12 | 17:30
10,SEG A SEX 07:30 | 12:00 | 13:30 | 17:48
225,SEG A SEX 09:00 | 14:00 | 16:00 | 19:00 E SAB 09:00 | 13:00
1,SEG A SEX 07:30 | 12:00 | 13:30 | 17:48
