CODIGO,NOME_DA_ESCALA,DESCRICAO_DA_ESTRUTURA
150001,08h00 - 18h00 IREF 1h12,SEG A SEX 08:00 | 12:30 | 13:42 | 18:00
50001,08h00 - 18h00 IREF 1h12,SEG A SEX 08:00 | 12:30 | 13:42 | 18:00
50010,07h30 - 17h48 IREF 1h30,SEG A SEX 07:30 | 12:00 | 13:30 | 17:48
50013,06h00 - 16h00 IREF 1h12,SEG A SEX 06:00 | 10:30 | 11:42 | 16:00
20001,08h00 - 18h00 IREF 1h12,SEG A SEX 08:00 | 12:30 | 13:42 | 18:00
20007,07h00 - 17h00 IREF 1h12,SEG A SEX 07:00 | 12:00 | 13:12 | 17:00
20010,07h30 - 17h48 IREF 1h30,SEG A SEX 07:30 | 12:00 | 13:30 | 17:48
20013,06h00 - 16h00 IREF 1h12,SEG A SEX 06:00 | 10:30 | 11:42 | 16:00
60001,08h00 - 18h00 IREF 1h12,SEG A SEX 08:00 | 12:30 | 13:42 | 18:00
60007,07h00 - 17h00 IREF 1h12,SEG A SEX 07:00 | 12:00 | 13:12 | 17:00
60010,07h30 - 17h48 IREF 1h30,SEG A SEX 07:30 | 12:00 | 13:30 | 17:48
60019,06h00 - 16h00 IREF 1h12,SEG A SEX 06:00 | 10:30 | 11:42 | 16:00
31,07h30 - 17h48 IREF 1h30,SEG A SEX 07:30 | 12:00 | 13:30 | 17:48
30502,09h00 - 18h22 IREF 1h00 (Folga),SEG A SEX 09:00 | 13:30 | 14:30 | 18:22 E SAB 09:00 | 13:00
30002,07h15 - 17h15 IREF 1h12,SEG A SEX 07:15 | 12:00 | 13:12 | 17:15
30003,07h50 - 17h50 IREF 1h12,SEG A SEX 07:50 | 12:30 | 13:42 | 17:50
30004,Escala 6x1,SEG A SEX 07:00 | 10:30 | 11:30 | 15:20
30005,Escala 6x1,SEG A SEX 15:00 | 19:00 | 20:00 | 23:20
30006,Escala 6x1,SEG A SEX 23:00 | 03:30 | 04:30 | 07:20
30007,Escala 6x1,SEG A SEX 08:00 | 11:30 | 12:30 | 16:20
30008,Escala 6x1,SEG A SEX 05:40 | 09:10 | 10:10 | 14:00
30018,09h00 - 18h00 IREF 1h00 - Comercial,SEG A SEX 09:00 | 13:00 | 14:00 | 18:00
30019,08h30 - 17h30 IREF 1h00 - Comercial,SEG A SEX 08:00 | 12:00 | 13:30 | 17:30 E SAB 08:00 | 12:00
30030,07h00 - 17h00 IREF 1h12,SEG A SEX 07:00 | 12:00 | 13:12 | 17:00
30031,Escala 6x1,SEG A SEX 23:00 | 03:00 | 04:00 | 07:00
30032,08h00 - 17h00 IREF 1h - SAB 4h,SEG A SEX 08:00 | 12:00 | 13:00 | 17:00 E SAB 08:00 | 12:00
30036,Escala 6x1,SEG A SEX 23:00 | 02:30 | 03:30 | 06:24
30037,Escala 6x1,SEG A SEX 23:40 | 03:30 | 04:30 | 07:04
30038,Escala 6x1,SEG A SEX 22:00 | 01:30 | 02:30 | 05:24
30050,Escala 6x1,SEG A SEX 10:00 | 14:00 | 15:00 | 18:20
30027,08h00 - 17h00 c/ 1h IREF - Sab 4 horas,SEG A SEX 08:00 | 12:00 | 13:00 | 17:00 E SAB 08:00 | 12:00
30101,"8:38 - 18:00 IREF 1h00 - 9:00 - 13:00 Sab (Alternados), Dom Descanso",SEG A SEX 08:38 | 12:00 | 13:00 | 17:00 E SAB 09:00 | 13:00
30102,"09:00 - 18:22 IREF 1h00 - 09:00 - 13:00 Sab (Alternado), Dom Descanso",SEG A SEX 09:00 | 13:30 | 14:30 | 18:22 E SAB 09:00 | 13:00
2,07:00 - 17:48 IREF 2h,SEG A SEX 07:00 | 12:30 | 14:30 | 17:48
3,08:00 - 18:00 c/ 2h IREF - Sab 4 horas,SEG A SEX 08:00 | 13:00 | 15:00 | 18:00 E SAB 08:00 | 12:00
5,07:30 - 17:30 c/ 2h IREF - Sab 4 horas,SEG A SEX 07:30 | 11:30 | 13:30 | 17:30 E SAB 07:30 | 11:30
7,08:00  - 18:00 c/2h IREF -  sab  4 horas,SEG A SEX 08:00 | 13:00 | 15:00 | 18:00 E SAB 08:00 | 12:00
1,08h00 - 18h00 IREF 1h12,SEG A SEX 08:00 | 12:30 | 13:42 | 18:00
10,08:30 - 18:00 c/ 1h30 IREF - Sab 4 horas,SEG A SEX 08:30 | 12:00 | 13:30 | 18:00 E SAB 08:30 | 12:30
11,8h00 - 17h30  c/  1h30 IREF   -   SAB 4 horas,SEG A SEX 08:00 | 12:00 | 13:30 | 17:30 E SAB 08:00 | 12:00
12,08h00 - 17h30 |REF 1h30 - Sab não,SEG A SEX 08:00 | 12:00 | 13:30 | 17:30
23,08h00 - 18h00 |REF 2h - Sab não,SEG A SEX 08:00 | 13:00 | 15:00 | 18:00
24,08h20 - 17h50 IREF 1h30 - Sab não,SEG A SEX 08:20 | 12:30 | 14:00 | 17:50
26,07h30 - 17h00 IREF 1h30 - Sab 4 horas,SEG A SEX 07:30 | 11:30 | 13:00 | 17:00 E SAB 07:30 | 11:30
27,08h00 - 17h30 |REF 1h30 - Sab 4 horas,SEG A SEX 08:00 | 12:00 | 13:30 | 17:30 E SAB 08:00 | 12:00
30,08h00 - 14h00 IREF 0h15 (Aprendiz),SEG A SEX 08:00 | 11:00 | 11:15 | 14:00
36,08:00 - 17:30 E SAB 4 HORAS,SEG A SEX 08:00 | 12:00 | 13:00 | 17:30 E SAB 08:00 | 12:00
40,07h00 - 17h00 IREF 2hs Sab 4hrs,SEG A SEX 07:00 | 12:00 | 14:00 | 17:00 E SAB 07:00 | 11:00
48,09h00  -  15h00 IREF 0h15  ( Aprendiz ),SEG A SEX 09:00 | 12:00 | 12:15 | 15:00
50,07:30 - 13:30 c/ 0:15 IREF (aprendiz),SEG A SEX 07:30 | 11:00 | 11:15 | 11:30
51,08h00  -  17h00 IREF  c/ 1h - Sab 4Hrs,SEG A SEX 08:00 | 12:00 | 13:00 | 17:00 E SAB 08:00 | 12:00
54,09h00 - 18h00 IREF c/ 1h - sab 4Hrs,SEG A SEX 09:00 | 12:00 | 13:00 | 18:00 E SAB 09:00 | 13:00
57,07:00 - 16:48 IREF 01:00H,SEG A SEX 07:00 | 12:00 | 13:00 | 16:48
58,07:00 - 16:00 IREF 01:00H - SAB 4 HORAS,SEG A SEX 07:00 | 12:00 | 13:00 | 16:00 E SAB 07:00 | 11:00
59,07:30 - 17:18 IREF 01:00H,SEG A SEX 07:30 | 12:00 | 13:00 | 17:18
61,07:00 - 17:00 c/ IREF 1h12,SEG A SEX 07:00 | 12:00 | 13:12 | 17:00
62,7H - 17:18H IREF 01:30,SEG A SEX 07:00 | 12:00 | 13:30 | 17:18
63,2ª A 5ª - 07H - 17H / 6ª 07H - 16H IREF 01:00,SEG A QUI 07:00 | 11:30 | 12:30 | 17:00 E SEX 07:00 | 11:00 | 12:00 | 16:00
68,07H00 - 17H00 IREF 2HS SAB 4HS,SEG A SEX 07:00 | 12:00 | 14:00 | 17:00 E SAB 07:00 | 11:00
7,07h00 - 17h00 IREF 1h12,SEG A SEX 07:00 | 12:00 | 13:12 | 17:00
71,09h00 - 18H00 IREF 1H00 SAB 4 HORAS,SEG A SEX 09:00 | 12:00 | 13:00 | 18:00 E SAB 09:00 | 13:00
77,07h30 - 17h30 c/ 1h12 IREF,SEG A SEX 07:30 | 12:00 | 13:12 | 17:30
10,07:30 - 17:48 REF 1:30,SEG A SEX 07:30 | 12:00 | 13:30 | 17:48
225,09:00 - 19:00 c/ 2h IREF - Sab 4 horas,SEG A SEX 09:00 | 14:00 | 16:00 | 19:00 E SAB 09:00 | 13:00
1,07h30 - 17h48 IREF 1h30,SEG A SEX 07:30 | 12:00 | 13:30 | 17:48
9999,ESCALA ADM 1,SEG A QUI 08:00 AS 18:00 E SEX 08:00 AS 17:00
