CODIGO,NOME_DA_ESCALA,DESCRICAO_DA_ESTRUTURA,carga_horaria,JOR_batida_automatica
11035,ESCALA 2X2 - 18:00 AS 06:00 - 44H - 11035,ESCALA 2X2 18:00 | 06:00,44,"“1200”,”1300”"
11045,ESCALA 3X3 - 06:00 AS 18:00 - 44H - 11045,ESCALA 3X3 06:00 | 18:00,40,
11047,ESCALA 2X2 - 07:00 AS 19:00 - 44H - 11047,ESCALA 2X2 07:00 | 19:00,,
11050,SEG A SEX 08:00 AS 17:00 - 40H - 11050,SEG A SEX 08:00 | 17:00,,
11051,SEG A SEX 09:00 AS 18:00 - 40H - 11051,SEG A SEX 09:00 | 18:00,,
11052,ESCALA 3X3 - 18:00 AS 06:00 - 44H - 11052,ESCALA 3X3 18:00 | 06:00,,
11054,ESCALA 2X2 - 19:00 AS 07:00 - 44H - 11054,ESCALA 2X2 19:00 | 07:00,,
11063,ESCALA 12X36 - 06:00 AS 18:00 - 44H - 11063,ESCALA 12X36 06:00 | 18:00,,
11072,ESCALA 4X4 - 19:00 AS 07:00 - 44H - 11072,ESCALA 4X4 19:00 | 07:00,,
11079,SEG A QUI 13:00 AS 23:15 SEX - 13:00 AS 22:15 - 44H - 11079,SEG A QUI 13:00 | 23:15 E SEX 13:00 | 22:15,,
11112,SEG A QUI 07:00 AS 17:00 / SEX 07:00 AS 16:00 - 44H - 11112,SEG A QUI 07:00 | 17:00 E SEX 07:00 | 16:00,,
11115,"SEG A SEX 08:00 AS 17:30 - 42,5H - 11115",SEG A SEX 08:00 | 17:30,,
11116,SEG A SEX 18:00 AS 02:00 - 35H - 11116,SEG A SEX 18:00 | 02:00,,
11117,"SEG A SEX 08:30 AS 18:00 - 42,5H - 11117",SEG A SEX 08:30 | 18:00,,
11120,SEG A SEX 07:30 AS 13:30 - 30H - 11120,SEG A SEX 07:30 | 13:30,,
11121,SEG A SEX 07:00 AS 16:00 / SAB 07:00 AS 11:00 - 44H - 11121,SEG A SEX 07:00 | 16:00 E SAB 07:00 | 11:00,,
11122,SEG A SAB 17:00 AS 23:00 - 36H - 11122,SEG A SAB 17:00 | 23:00,,
11132,SEG A SEX 07:30 AS 13:30 - ENG TRAINEE - 30H - 11132,SEG A SEX 07:30 | 13:30,,
11156,ESCALA 12X36 - 19:00 AS 07:00 - 44H - 11156,ESCALA 12X36 19:00 | 07:00,,
11174,"SEG, QUA, QUI 12:00 AS 21:30 / TER, QUI 09:00 AS 18:30 - 42,5H - 11174","SEG, QUA, QUI 12:00 | 21:30 E TER, QUI 09:00 | 18:30",,
11180,ESCALA 2X2 - 18:00 AS 06:00 - 44H - 11180,ESCALA 2X2 18:00 | 06:00,,
11208,QUA A DOM 14:00 AS 23:09 - 40H - 11208,QUA A DOM 14:00 | 23:09,,
11209,QUA A DOM 23:00 AS 07:09 - 44H - 11209,QUA A DOM 23:00 | 07:09,,
11352,SEG A QUA E SEX 08:00 AS 17:20 / QUI 11:40 AS 21:00 - 40H - 11352,SEG A QUA E SEX 08:00 | 17:20 E QUI 11:40 | 21:00,,
11353,SEG A QUI 07:00 AS 16:30 / SEX 07:00 AS 16:00 - 42H - 11353,SEG A QUI 07:00 | 16:30 E SEX 07:00 | 16:00,,
11354,SEG A QUI 08:30 AS 18:50 / SEX 08:30 AS 17:50 - 44H - 11354,SEG A QUI 08:30 | 18:50 E SEX 08:30 | 17:50,,
11355,SEG A QUI 09:30 AS 19:50 / SEX 09:30 AS 18:50 - 44H - 11355,SEG A QUI 09:30 | 19:50 E SEX 09:30 | 18:50,,
11356,SEG A QUI 13:00 AS 23:20 / SEX 14:00 AS 23:20 - 44H - 11356,SEG A QUI 13:00 | 23:20 E SEX 14:00 | 23:20,,
11357,SEG A SEX 17:30 A 01:50 - 11357,SEG A SEX 17:30 | 01:50,,
