CODIGO,NOME_DA_ESCALA,DESCRICAO_DA_ESTRUTURA
11011001,SEG A SEX - 05:00 AS 14:00 - 40H,SEG A SEX 05:00 | 09:00 | 10:00 | 14:00
11011002,SEG A SEX - 06:00 AS 15:00 - 40H,SEG A SEX 06:00 | 10:00 | 11:00 | 15:00
11011003,SEG A SEX - 07:00 AS 16:00 - 40H,SEG A SEX 07:00 | 11:00 | 12:00 | 16:00
11011004,SEG A SEX - 08:00 AS 17:00 - 40H,SEG A SEX 08:00 | 12:00 | 13:00 | 17:00
11011005,SEG A SEX - 09:00 AS 18:00 - 40H,SEG A SEX 09:00 | 13:00 | 14:00 | 18:00
11011006,SEG A SEX - 10:00 AS 19:00 - 40H,SEG A SEX 10:00 | 14:00 | 15:00 | 19:00
11011008,SEG A SEX - 07:00 AS 17:00 - 44H,SEG A SEX 07:00 | 12:00 | 13:00 | 17:00
11011009,SEG A SEX - 08:00 AS 18:00 - 44H,SEG A SEX 08:00 | 13:00 | 14:00 | 18:00
11011010,SEG A SEX - 09:00 AS 19:00 - 44H,SEG A SEX 09:00 | 14:00 | 15:00 | 19:00
11011011,SEG A SEX - 10:00 AS 20:00 - 44H,SEG A SEX 10:00 | 15:00 | 16:00 | 20:00
11011012,SEG A SEX - 07:30 AS 16:30 - 42H,SEG A SEX 07:30 | 12:00 | 13:00 | 16:30
11011013,SEG A SEX - 18:00 AS 02:00 - 44H,SEG A SEX 18:00 | 22:00 | 23:00 | 02:00
11011015,SEG A SEX - 06:00 AS 18:00 - 44H - 2X2,SEG A SEX 06:00 | 12:00 | 13:00 | 18:00
11011016,SEG A SEX - 08:00 AS 15:50 - 44H,SEG A SEX 08:00 | 12:00 | 13:00 | 15:50
11011017,SEG A SEX - 07:00 AS 16:20 - 44H,SEG A SEX 07:00 | 12:00 | 13:00 | 16:20
11011019,SEG A SEX - 07:30 AS 16:30 - 44H,SEG A SEX 07:30 | 12:00 | 13:00 | 16:30
11011020,SEG A SEX - 07:30 AS 17:30 - 44 H,SEG A SEX 07:30 | 12:00 | 13:00 | 17:30
11011022,SEG A SEX - 07:30 AS 16:47 - 40H COMP,SEG A SEX 07:30 | 12:00 | 13:00 | 16:47
11011024,SEG A SEX - 07:30 AS 16:50 - 44H,SEG A SEX 07:30 | 12:00 | 13:00 | 16:50
11011025,SEG A SEX - 07:40 AS 17:00 - 44H,SEG A SEX 07:40 | 12:00 | 13:00 | 17:00
11011026,SEG A SEX - 08:00 AS 17:20 - 44H,SEG A SEX 08:00 | 12:00 | 13:00 | 17:20
