código,NOME,ESCALAS:
1,0001PA SEG A QUIN 08:00 AS 18:00 SEX 08:00:00 AS 17:00:00,0001PA SEG A QUIN 08:00 AS 18:00 SEX 08:00:00 AS 17:00:00
2,0002PA SEG A SEX 08:00 AS 17:00 E SAB 08:00 AS 12:00,0002PA SEG A SEX 08:00 AS 17:00 E SAB 08:00 AS 12:00
3,0003PA SEG A SEX 08:00 AS 17:00,0003PA SEG A SEX 08:00 AS 17:00
4,0004 SEG A SEX 11:00 AS 20:00 RECIFE,0004 SEG A SEX 11:00 AS 20:00 RECIFE
5,0006PA 12X36 DIURNO,0006PA 12X36 DIURNO
6,0007PA 12X36 NOTURNO,0007PA 12X36 NOTURNO
7,0008 SEG A QUI 12:00 AS 22:00 SEX 12:00 AS 21:00,0008 SEG A QUI 12:00 AS 22:00 SEX 12:00 AS 21:00
8,0009PA SEG QUI 07:00 AS 17:00 / SEX 07:00 AS 16:00,0009PA SEG QUI 07:00 AS 17:00 / SEX 07:00 AS 16:00
9,0010 SEG A QUI 10:00 AS 20:00 SEX 10:00 AS 19:00,0010 SEG A QUI 10:00 AS 20:00 SEX 10:00 AS 19:00
10,0011 SEG A QUI 09:00 AS 19:00 SEX DAS 09:00 AS 18:00,0011 SEG A QUI 09:00 AS 19:00 SEX DAS 09:00 AS 18:00
11,0012 SEG A SAB DAS 08:00 AS 14:00:20,0012 SEG A SAB DAS 08:00 AS 14:00:20
12,0013 SEG A SAB DAS 13:40 AS 20:00,0013 SEG A SAB DAS 13:40 AS 20:00
13,0014 SEG A SAB DAS 15:40 AS 22:00,0014 SEG A SAB DAS 15:40 AS 22:00
14,0015 SEG A QUI 06:00 AS 16:00 SEX 06:00 AS 15:00,0015 SEG A QUI 06:00 AS 16:00 SEX 06:00 AS 15:00
15,0016PA SEG A SEX 07:00 AS 17:00,0016PA SEG A SEX 07:00 AS 17:00
16,0017 SEG A SEX DAS 14:00 AS 22:00,0017 SEG A SEX DAS 14:00 AS 22:00
17,0018PA SEG A SEX DAS 22:00 AS 06:00,0018PA SEG A SEX DAS 22:00 AS 06:00
18,0019PA SEG A SEX NOTURNO 22:00 AS 06:00,0019PA SEG A SEX NOTURNO 22:00 AS 06:00
19,0020 SEG A SEX DAS 09:00 AS 16:00,0020 SEG A SEX DAS 09:00 AS 16:00
20,0021PA SEG/QUI 07:00 AS 17:00 HS,0021PA SEG/QUI 07:00 AS 17:00 HS
21,0022PA SEG QUI 07:00 AS 17:00 | SEX 07:00 AS 16:00,0022PA SEG QUI 07:00 AS 17:00 | SEX 07:00 AS 16:00
22,0023 SEG A QUIN 12:00 AS 22:00 SEX 12:00 AS 21:00,0023 SEG A QUIN 12:00 AS 22:00 SEX 12:00 AS 21:00
23,0024 SEG A QUIN DAS 06:00 AS 16:00 SEX DAS 06:00 AS 15:00 H,0024 SEG A QUIN DAS 06:00 AS 16:00 SEX DAS 06:00 AS 15:00 H
24,0025 SEG A SAB 09:00 AS 15:00:20,0025 SEG A SAB 09:00 AS 15:00:20
25,0027 SEG A SEX 07:30 AS 16:00:30 SAB 08:00 AS 12:00,0027 SEG A SEX 07:30 AS 16:00:30 SAB 08:00 AS 12:00
26,0028PA SEG A SEX 07:00 AS 16:00 SAB 08:00 AS 12:00,0028PA SEG A SEX 07:00 AS 16:00 SAB 08:00 AS 12:00
27,0029 SEG A SEX 09:00 AS 18:00 SAB 08:00 AS 12:00,0029 SEG A SEX 09:00 AS 18:00 SAB 08:00 AS 12:00
28,0031PA SEG A SEX 13:00 AS 22:00,0031PA SEG A SEX 13:00 AS 22:00
29,0032 SEG A SAB 07:00 AS 15:00:20,0032 SEG A SAB 07:00 AS 15:00:20
30,0033PA SEG A SAB 13 HS AS 21:20,0033PA SEG A SAB 13 HS AS 21:20
31,0035PA SEG A SEX 14:00 AS 23:00 SAB 14:00 AS 18:00,0035PA SEG A SEX 14:00 AS 23:00 SAB 14:00 AS 18:00
32,0036PA SEG A SEX 14:00 AS 23:00 SAB 14:00 AS 19:00,0036PA SEG A SEX 14:00 AS 23:00 SAB 14:00 AS 19:00
33,0037PA SEG A QUI 14:00 AS 00:00 E SEX 14:00 AS 23:00,0037PA SEG A QUI 14:00 AS 00:00 E SEX 14:00 AS 23:00
34,0038 SEG A QUI 22:00 AS 08:00 E SEX 22:00 AS 07:00,0038 SEG A QUI 22:00 AS 08:00 E SEX 22:00 AS 07:00
35,0039 SEG A SEX 04:30 AS 13:00 E SAB 04:30 AS 11:00,0039 SEG A SEX 04:30 AS 13:00 E SAB 04:30 AS 11:00
36,0040 SEG A QUIN 20:00 AS 06:00 SEX 20:00 AS 05:00,0040 SEG A QUIN 20:00 AS 06:00 SEX 20:00 AS 05:00
37,0041 SEG A QUIN 18:00 AS 04:00 SEX 18:00 AS 03:00,0041 SEG A QUIN 18:00 AS 04:00 SEX 18:00 AS 03:00
38,0042 SEG A QUIN 21:00 AS 07:00 SEX 21:00 AS 06:00,0042 SEG A QUIN 21:00 AS 07:00 SEX 21:00 AS 06:00
