CODIGO,NOME_DA_ESCALA,DESCRICAO_DA_ESTRUTURA
00001,Turno Condomínio Adm 2 - 08:00 as 12:00 / 14:00 as 18:00 Sab. 08:00 as 12:00,SEG A SEX 08:00 | 12:00 | 14:00 | 18:00 E SAB 08:00 | 12:00
00002,Turno Expedição 6 - 21:00 as 01:00/02:00 as 05:00 Sab. 18:00 as 22:00,SEG A SEX 21:00 | 01:00 | 02:00 | 05:00 E SAB 18:00 | 22:00
00003,Turno Condomínio Adm 1 - 07:30 as 12:00 / 13:30 as 17:00 Sab. 08:00 as 12:00,SEG A QUI 07:30 | 12:00 | 13:30 | 17:00 E SEX 08:00 | 12:00 | 14:00 | 18:00 E SAB 08:00 | 12:00
00004,Turno Expedição 1 - 16:00 as 20:00 / 21:00 as 00:37 Sab. 16:00 as 20:00,SEG A SEX 16:00 | 20:00 | 21:00 | 00:37 E SAB 16:00 | 20:00
00005,Turno Expedição 2 - 17:00 as 20:30 / 21:30 as 01:30 Sab. 16:00 as 20:00,SEG A SEX 17:00 | 20:30 | 21:30 | 01:30 E SAB 16:00 | 20:00
00006,Turno Aprendiz Vespertino - 14:00 as 18:00,SEG A SEX 14:00 | 18:00
00007,Turno Aprendiz Matutino - 08:00 as 12:00,SEG A SEX 08:00 | 12:00
00008,Turno Comercial Externo - 08:00 as 12:00 / 14:00 as 18:00 Sáb 08:00 as 12:00,SEG A SEX 08:00 | 12:00 | 14:00 | 18:00 E SAB 08:00 | 12:00
00009,Turno Transporte Oficina - 07:00 as 12:00/14:00 as 17:00 Sab 08:00 as 12:00,SEG A SEX 07:00 | 12:00 | 14:00 | 17:00 E SAB 08:00 | 12:00
00010,Turno Expedição 4 - 19:00 as 23:00 / 00:00 as 03:15 Sab. 16:00 as 20:00,SEG A SEX 19:00 | 23:00 | 00:00 | 03:15 E SAB 16:00 | 20:00
00011,Turno Recebimento - 07:00 as 11:20 /12:20 as 16:00 Sab. 08:00 as 12:00,SEG A SEX 07:00 | 11:20 | 12:20 | 16:00 E SAB 08:00 | 12:00
00012,Tuno CFTV 1- 07h às 11:30/12:30 às 16h - Sab. 08h às 12h,SEG A SEX 07:00 | 11:30 | 12:30 | 16:00 E SAB 08:00 | 12:00
00013,Turno Expedição 5 - 20:00 as 00:00 / 01:00 as 04:07 Sab. 16:00 as 20:00,SEG A SEX 20:00 | 00:00 | 01:00 | 04:07 E SAB 16:00 | 20:00
00014,Turno Adm/Recebi. 08:00 as 12:00 /13:00 as 18:00 Sab. 08:00 as 12:00,SEG A SEX 08:00 | 12:00 | 13:00 | 18:00 E SAB 08:00 | 12:00
00015,Turno Adm/Recebi. 3 - 07:00 as 12:00 / 13:30 as 16:30 Sab. 08:00 as 12:00,SEG A QUI 07:00 | 12:00 | 13:30 | 16:30 E SEX 07:00 | 12:00 | 14:00 | 17:00 E SAB 08:00 | 12:00
00016,Turno Aprendiz Matutino - 07:30 as 11:30,SEG A SEX 07:30 | 11:30
